index, F0 Tr.x, F0 Tr.y, F1 Tr.x, F1 Tr.y, F2 Tr.x, F2 Tr.y, F3 Tr.x, F3 Tr.y, F4 Tr.x, F4 Tr.y
0.2751, 0.54543,-0.04607, 0.53052,0.00986, 0.52812,0.02111, 0.52718,0.02611, 0.52669,0.02895
0.2801, 0.54903,-0.03698, 0.53503,0.01782, 0.53284,0.02899, 0.53199,0.03397, 0.53155,0.03680
0.2851, 0.55264,-0.02795, 0.53957,0.02577, 0.53758,0.03686, 0.53682,0.04182, 0.53644,0.04465
0.2901, 0.55628,-0.01899, 0.54412,0.03370, 0.54234,0.04472, 0.54169,0.04966, 0.54136,0.05248
0.2951, 0.55994,-0.01008, 0.54871,0.04163, 0.54714,0.05258, 0.54659,0.05750, 0.54632,0.06031
0.3001, 0.56363,-0.00124, 0.55333,0.04954, 0.55198,0.06042, 0.55152,0.06532, 0.55131,0.06813
0.3051, 0.56736,0.00755, 0.55799,0.05744, 0.55686,0.06826, 0.55650,0.07314, 0.55636,0.07594
0.3101, 0.57113,0.01629, 0.56270,0.06533, 0.56178,0.07608, 0.56153,0.08095, 0.56145,0.08374
0.3151, 0.57495,0.02498, 0.56745,0.07320, 0.56676,0.08389, 0.56662,0.08874, 0.56659,0.09153
0.3201, 0.57881,0.03362, 0.57226,0.08106, 0.57180,0.09169, 0.57176,0.09652, 0.57180,0.09930
0.3251, 0.58274,0.04222, 0.57712,0.08891, 0.57689,0.09948, 0.57697,0.10429, 0.57707,0.10707
0.3301, 0.58672,0.05077, 0.58205,0.09674, 0.58206,0.10725, 0.58225,0.11205, 0.58241,0.11481
0.3351, 0.59078,0.05928, 0.58705,0.10455, 0.58729,0.11500, 0.58759,0.11978, 0.58783,0.12254
